ISIN,Name,Description,Clean Price,Yield (%),YTM (%),Coupon,Industry,Maturity,Issuer,Callable,Currency,Issue Date,Pricing Date,Status
USP01012AM84,ELSALV 7.63% 2034-09-21 USD,7.625% NT REDEEM 21/09/2034 USD 10000 - Reg S,97.927,7.942288,7.788382,7.625,Government,2034-09-21,El Salvador,N,USD,2004-09-21T00:00:00Z,2025-06-12T00:00:00Z,Active
US283875AN23,ELSALV 7.65% 2035-06-15 USD,7.65% NT REDEEM 15/06/2035 USD 10000 - 144A,96.459,8.17471,8.012685,7.65,Government,2035-06-15,El Salvador,N,USD,2005-06-10T00:00:00Z,2025-06-12T00:00:00Z,Active
USP01012AN67,ELSALV 7.65% 2035-06-15 USD,7.65% NT REDEEM 15/06/2035 USD 10000 - Reg S,96.459,8.17471,8.012685,7.65,Government,2035-06-15,El Salvador,N,USD,2005-06-10T00:00:00Z,2025-06-12T00:00:00Z,Active
US283875CB66,ELSALV 9.50% 2052-07-15 USD,9.50% NT REDEEM 15/07/2052 USD 150000 - 144A,101.993,9.295836,9.086,9.5,Government,2052-07-15,El Salvador,Y,USD,2020-07-15T00:00:00Z,2025-06-12T00:00:00Z,Active
USP01012CC84,ELSALV 9.50% 2052-07-15 USD,9.50% NT REDEEM 15/07/2052 USD 150000 - Reg S,101.993,9.295836,9.086,9.5,Government,2052-07-15,El Salvador,Y,USD,2020-07-15T00:00:00Z,2025-06-12T00:00:00Z,Active
US283875AQ53,ELSALV 7.63% 2041-02-01 USD,7.625% NT REDEEM 01/02/2041 USD 150000 - 144A,91.9,8.573241,8.391452,7.625,Government,2041-02-01,El Salvador,N,USD,2011-02-01T00:00:00Z,2025-06-12T00:00:00Z,Active
USP01012AR71,ELSALV 7.63% 2041-02-01 USD,7.625% NT REDEEM 01/02/2041 USD 150000 - Reg S,91.9,8.573241,8.391452,7.625,Government,2041-02-01,El Salvador,N,USD,2011-02-01T00:00:00Z,2025-06-12T00:00:00Z,Active
US283875AH54,ELSALV 8.25% 2032-04-10 USD,8.25% NT REDEEM 10/04/2032 USD 10000 - 144A,102.043,7.85424,7.703542,8.25,Government,2032-04-10,El Salvador,N,USD,2002-04-10T00:00:00Z,2025-06-12T00:00:00Z,Active
XS0146173371,ELSALV 8.25% 2032-04-10 USD,8.25% NT REDEEM 10/04/2032 USD 10000 - Reg S,102.043,7.85424,7.703542,8.25,Government,2032-04-10,El Salvador,N,USD,2002-04-10T00:00:00Z,2025-06-12T00:00:00Z,Active
US283875AS10,ELSALV 6.38% 2027-01-18 USD,6.375% NT REDEEM 18/01/2027 USD 5000 - 144A,99.16,6.932644,6.808475,6.375,Government,2027-01-18,El Salvador,N,USD,2014-09-18T00:00:00Z,2025-06-12T00:00:00Z,Active
USP01012AT38,ELSALV 6.38% 2027-01-18 USD,6.375% NT REDEEM 18/01/2027 USD 5000 - Reg S,99.16,6.932644,6.808475,6.375,Government,2027-01-18,El Salvador,N,USD,2014-09-18T00:00:00Z,2025-06-12T00:00:00Z,Active
USP01012CF16,ELSALV 9.25% 2030-04-17 USD,9.25% NT REDEEM 17/04/2030 USD 150000 - Reg S,106.683,6.976332,6.857114,9.25,Government,2030-04-17,El Salvador,Y,USD,2024-04-17T00:00:00Z,2025-06-12T00:00:00Z,Active
US283875CE06,ELSALV 9.25% 2030-04-17 USD,9.25% NT REDEEM 17/04/2030 USD 150000 - 144A,106.683,6.976332,6.857114,9.25,Government,2030-04-17,El Salvador,Y,USD,2024-04-17T00:00:00Z,2025-06-12T00:00:00Z,Active
US283875BW13,ELSALV 8.63% 2029-02-28 USD,8.625% NT REDEEM 28/02/2029 USD 5000 - 144A,104.006,7.365944,7.225875,8.625,Government,2029-02-28,El Salvador,N,USD,2017-02-28T00:00:00Z,2025-06-12T00:00:00Z,Active
USP01012BX31,ELSALV 8.63% 2029-02-28 USD,8.625% NT REDEEM 28/02/2029 USD 5000 - Reg S,104.006,7.365944,7.225875,8.625,Government,2029-02-28,El Salvador,N,USD,2017-02-28T00:00:00Z,2025-06-12T00:00:00Z,Active
US283875CD23,ELSALV 0.25% 2030-04-17 USD,FXDVR NT REDEEM 17/04/2030 USD 150000 - 144A,94.302,2.012049,2.001811,0.25,Government,2030-04-17,El Salvador,Y,USD,2024-04-17T00:00:00Z,2025-06-12T00:00:00Z,Active
US283875BZ44,ELSALV 7.12% 2050-01-20 USD,7.1246% NT REDEEM 20/01/2050 USD 150000 - 144A,83.22,8.801833,8.613235,7.1246,Government,2050-01-20,El Salvador,Y,USD,2019-08-06T00:00:00Z,2025-06-12T00:00:00Z,Active
USP01012CA29,ELSALV 7.12% 2050-01-20 USD,7.1246% NT REDEEM 20/01/2050 USD 1500000 - Reg S,83.22,8.801833,8.613235,7.1246,Government,2050-01-20,El Salvador,Y,USD,2019-08-06T00:00:00Z,2025-06-12T00:00:00Z,Active
US283875AR37,ELSALV 5.88% 2025-01-30 USD,5.875% NT REDEEM 30/01/2025 USD 5000 - 144A,100.0,0.0,0.0,5.875,Government,2025-01-30,El Salvador,N,USD,2012-12-05T00:00:00Z,2025-01-30T00:00:00Z,Inactive
XS0908638439,ELSALV 5.88% 2025-01-30 USD,5.875% MTN REDEEM 30/01/2025 USD 1000,100.0,0.0,0.0,5.875,Government,2025-01-30,El Salvador,,USD,2013-03-28T00:00:00Z,2025-01-30T00:00:00Z,Inactive
USP01012AS54,ELSALV 5.88% 2025-01-30 USD,5.875% NT REDEEM 30/01/2025 USD 5000 - REG S,100.0,0.0,0.0,5.875,Government,2025-01-30,El Salvador,N,USD,2012-12-05T00:00:00Z,2025-01-30T00:00:00Z,Inactive
