ISIN,Name,Description,Clean Price,Yield (%),Coupon,Industry,Maturity,Issuer,Callable,Currency,Issue Date,Pricing Date,Status,Today,Tenor_Date
US221604BG52,CRTP 6.67% 2030-11-22 USD,6.67% NT REDEEM 22/11/2030 USD - 144A,106.858,5.219568,6.67,Government,2030-11-22,Costa Rica,N,USD,2016-08-17T00:00:00Z,2025-05-22T00:00:00Z,Active,2025-05-23,5.497
CRG0000B45I8,CRTP 10.00% 2029-02-21 USD,10% BD REDEEM 21/02/2029 USD 1000,112.226,5.537665,10,Government,2029-02-21,Costa Rica,NA,USD,2019-03-20T00:00:00Z,2025-05-22T00:00:00Z,Active,2025-05-23,3.744
XS1968712338,CRTP 9.20% 2029-02-21 USD,9.20% BD REDEEM 21/02/2029 USD 1000 - REG S,112.224,5.53811,9.2,Government,2029-02-21,Costa Rica,NA,USD,2019-02-21T00:00:00Z,2025-05-22T00:00:00Z,Active,2025-05-23,3.744
US221597CL95,CRTP 9.20% 2029-02-21 USD,9.20% NT REDEEM 21/02/2029 USD - 144A,112.224,5.53811,9.2,Government,2029-02-21,Costa Rica,N,USD,2019-03-21T00:00:00Z,2025-05-22T00:00:00Z,Active,2025-05-23,3.744
USP3699PGK77,CRTP 6.13% 2031-02-19 USD,6.125% NT REDEEM 19/02/2031 USD 200000 - Reg S,102.269,5.569547,6.125,Government,2031-02-19,Costa Rica,Y,USD,2019-11-19T00:00:00Z,2025-05-22T00:00:00Z,Active,2025-05-23,5.739
US221597CP00,CRTP 6.13% 2031-02-19 USD,6.125% NT REDEEM 19/02/2031 USD 200000 - 144A,102.269,5.569547,6.125,Government,2031-02-19,Costa Rica,Y,USD,2019-11-19T00:00:00Z,2025-05-22T00:00:00Z,Active,2025-05-23,5.739
USP3699PGM34,CRTP 6.55% 2034-04-03 USD,6.55% BD REDEEM 03/04/2034 USD 200000 - Reg S,102.243,6.16456,6.55,Government,2034-04-03,Costa Rica,Y,USD,2023-04-03T00:00:00Z,2025-05-22T00:00:00Z,Active,2025-05-23,8.861
US221597CR65,CRTP 6.55% 2034-04-03 USD,6.55% BD REDEEM 03/04/2034 USD 200000 - Reg 144A,102.243,6.16456,6.55,Government,2034-04-03,Costa Rica,NA,USD,2023-04-03T00:00:00Z,2025-05-22T00:00:00Z,Active,2025-05-23,8.861
USP3699PGH49,CRTP 7.00% 2044-04-04 USD,7% NT REDEEM 04/04/2044 USD 200000 - Reg S,100.539,6.947182,7,Government,2044-04-04,Costa Rica,N,USD,2014-04-04T00:00:00Z,2025-05-22T00:00:00Z,Active,2025-05-23,18.864
US221602AC91,CRTP 7.00% 2044-04-04 USD,7% NT REDEEM 04/04/2044 USD 200000 - 144A,100.539,6.947182,7,Government,2044-04-04,Costa Rica,N,USD,2014-04-04T00:00:00Z,2025-05-22T00:00:00Z,Active,2025-05-23,18.864
USP3699PGF82,CRTP 5.63% 2043-04-30 USD,5.625% NT REDEEM 30/04/2043 USD 200000 - Reg S,88.166,6.774123,5.625,Government,2043-04-30,Costa Rica,N,USD,2013-04-30T00:00:00Z,2025-05-22T00:00:00Z,Active,2025-05-23,17.936
US221597BT31,CRTP 5.63% 2043-04-30 USD,5.625% NT REDEEM 30/04/2043 USD 200000 - 144A,88.166,6.774123,5.625,Government,2043-04-30,Costa Rica,N,USD,2013-04-30T00:00:00Z,2025-05-22T00:00:00Z,Active,2025-05-23,17.936
USP3699PGJ05,CRTP 7.16% 2045-03-12 USD,7.158% NT REDEEM 12/03/2045 USD 200000 - Reg S,101.418,7.022992,7.158,Government,2045-03-12,Costa Rica,Y,USD,2015-03-12T00:00:00Z,2025-05-22T00:00:00Z,Active,2025-05-23,19.803
US221597BV86,CRTP 7.16% 2045-03-12 USD,7.158% NT REDEEM 12/03/2045 USD 200000 - 144A,101.418,7.022992,7.158,Government,2045-03-12,Costa Rica,Y,USD,2015-03-12T00:00:00Z,2025-05-22T00:00:00Z,Active,2025-05-23,19.803
CRG0000B33J2,CRTP 7.20% 2033-11-23 USD,7.20% BD REDEEM 23/11/2033 USD 1000,103.421,5.608649,7.2,Government,2033-11-23,Costa Rica,NA,USD,2023-05-23T00:00:00Z,2025-05-22T00:00:00Z,Active,2025-05-23,8.5
CRG0000B20J9,CRTP 9.00% 2034-05-24 USD,9% BD REDEEM 24/05/2034 USD 1000,124.625,4.320161,9,Government,2034-05-24,Costa Rica,NA,USD,2022-05-24T00:00:00Z,2025-05-22T00:00:00Z,Active,2025-05-23,9.003
USP3699PGN17,CRTP 7.30% 2054-11-13 USD,7.30% BD REDEEM 13/11/2054 USD 200000 - Reg S,101.613,7.165519,7.3,Government,2054-11-13,Costa Rica,Y,USD,2023-11-13T00:00:00Z,2025-05-20T00:00:00Z,Active,2025-05-23,29.472
